num_negative_pairs,num_epochs,margin,num_augmentations,test_set,auc,f1,specificity,sensitivity,accuracy,gallery1_rank1,gallery1_rank5,gallery2_rank1,gallery2_rank5
5,5,0.5,2,Overall,0.8161,0.4058,0.7829,0.8235,0.7865,,,,
5,5,0.5,2,Easy,,,,,,,,,
5,5,0.5,2,Normal,,,,,,,,,
5,5,0.5,2,Hard,,,,,,,,,
5,5,0.5,3,Overall,0.8161,0.4058,0.7829,0.8235,0.7865,,,,
5,5,0.5,3,Easy,,,,,,,,,
5,5,0.5,3,Normal,,,,,,,,,
5,5,0.5,3,Hard,,,,,,,,,
5,5,1.0,2,Overall,0.7889,0.3939,0.7943,0.7647,0.7917,,,,
5,5,1.0,2,Easy,,,,,,,,,
5,5,1.0,2,Normal,,,,,,,,,
5,5,1.0,2,Hard,,,,,,,,,
